order_id,customer_id,customer_name,gender,age,country,city,product_category,product_name,quantity,price,discount,order_date,delivery_days,payment_method,order_status,rating,review_text
11081,4153,Eva,,66,India,Toronto,Furniture,Shirt,7,580.77,0,2021-08-17,8,Net Banking,Cancelled,,Poor
14503,5126,Charlie,F,69,India,London,Electronics,Shirt,8,777.74,15,2022-07-23,10,,Delivered,,
5394,4055,Charlie,Female,55,India,Mumbai,Food,,7,1858.55,,2023-01-09,3,Cash,Cancelled,4,
10628,7476,Bob,,62,,,Books,Phone,4,495.85,,2023-06-06,7,Net Banking,,,Poor
8793,1659,,Female,41,USA,,Food,Pizza,1,336.87,20,2023-03-17,6,,Cancelled,5,Bad
10556,7320,Charlie,F,40,,Paris,Books,,9,334.22,10,2022-09-23,5,Debit Card,Returned,2,Bad
10254,7513,Alice,Male,64,,Toronto,Food,Shirt,9,382.34,0,2021-04-26,5,,Delivered,4,
8434,5642,Frank,,24,,New York,Electronics,Phone,6,74.99,,2023-05-11,14,Net Banking,,3,Excellent
10234,3582,Grace,F,48,Germany,New York,Furniture,Laptop,1,860.22,5,2021-11-06,10,Net Banking,,3,Excellent
11017,2129,Frank,M,24,UK,Mumbai,Furniture,Chair,8,1089.8,20,2022-01-27,14,,Returned,5,
7514,7240,Eva,,30,,Mumbai,Electronics,Chair,5,1395.41,10,2022-10-10,1,Debit Card,Returned,5,Poor
2613,7373,Frank,Male,21,Germany,New York,,Shirt,7,125.29,15,2023-05-11,13,,Returned,2,Average
7042,3274,,F,35,USA,New York,,Pizza,9,1077.87,20,2022-04-29,11,Credit Card,Delivered,,Bad
9556,5466,Charlie,F,57,France,Mumbai,Clothing,Chair,5,1580.29,0,2023-01-09,6,,,2,Poor
6236,6219,Charlie,Female,36,India,London,Clothing,,6,1151.04,15,2021-01-06,6,Cash,Delivered,1,Average
5487,2468,David,,33,France,London,Food,Phone,5,512.34,15,2023-04-25,4,Net Banking,Pending,5,Average
7100,6587,Eva,Male,69,,New York,Electronics,Pizza,2,1305.88,20,2023-02-04,10,Cash,Pending,5,Bad
9671,3102,Eva,M,35,India,Berlin,Electronics,Phone,1,720.17,10,2022-03-02,7,,Delivered,2,Poor
10749,4266,Frank,Female,33,UK,London,Food,Shirt,7,1221.28,,2022-05-08,,,Pending,1,Excellent
776,3471,Charlie,,65,India,Paris,Food,Pizza,3,1917.29,5,2022-03-28,4,Net Banking,Delivered,5,Good
12207,7458,Alice,Male,48,,Toronto,Books,Novel,8,524.91,0,2022-11-03,3,Credit Card,Pending,,Bad
8227,2151,,Female,42,India,New York,Furniture,Novel,3,1382.16,5,2023-02-18,1,Credit Card,Delivered,2,
14542,7175,,Male,19,Canada,,Books,Novel,8,1113.58,0,2022-11-01,13,Net Banking,Cancelled,3,
3153,1092,David,Male,63,France,London,Food,,1,784.82,,2023-03-18,11,Net Banking,,5,
10148,3566,Alice,Female,68,Canada,,Food,Phone,5,10.75,15,2022-07-16,1,Cash,Delivered,,
1586,2281,,Female,45,France,Mumbai,Food,Phone,2,1791.37,15,2021-12-28,11,Credit Card,Cancelled,4,Bad
3944,3900,Charlie,,33,France,Berlin,Books,Laptop,5,1692.05,0,2023-02-14,8,,Cancelled,3,Bad
7556,7021,Eva,Female,53,USA,Toronto,Furniture,Laptop,4,1883.66,15,2023-04-02,6,Cash,Cancelled,5,Bad
3074,6339,Eva,,62,India,Toronto,Food,Shirt,6,1301.54,20,2022-02-02,3,Debit Card,Delivered,4,Good
1022,3799,Grace,Male,57,France,,Clothing,Phone,5,1066.33,20,2021-07-12,3,,Pending,,Good
11654,4177,,Female,52,USA,Mumbai,Furniture,Pizza,2,309.3,,2023-04-30,10,UPI,Delivered,1,Average
10806,6667,Alice,,41,Canada,Toronto,Clothing,Pizza,2,926.33,5,2022-05-28,2,Net Banking,Pending,3,Bad
13418,5511,Grace,,52,Canada,Mumbai,Clothing,Phone,6,837.9,10,2021-09-06,11,,Returned,1,Poor
3844,3604,Grace,M,47,UK,Berlin,Furniture,Novel,3,506.89,10,2021-03-11,6,Net Banking,Delivered,3,Average
7990,4881,Bob,,54,UK,New York,Clothing,Phone,6,1655.98,5,2023-04-19,12,Cash,Delivered,,Average
9693,3413,,,28,India,,Electronics,Novel,1,1332.26,5,2021-08-30,7,Net Banking,,,Excellent
12991,2544,,M,62,France,,Books,,4,1460.52,20,2021-11-06,4,,Returned,1,
14738,4530,Charlie,F,51,India,,Food,Phone,8,1399.42,0,2023-04-12,14,Debit Card,Returned,4,
6874,3646,Eva,Female,55,India,Toronto,Electronics,Novel,4,210.45,20,2021-07-21,7,Credit Card,Cancelled,2,Good
5676,7474,Frank,M,56,,Mumbai,Food,Pizza,9,1502.64,10,2022-08-09,5,Debit Card,,,Average
162,5784,Bob,,41,,Toronto,Food,Pizza,3,1694.78,10,2021-02-10,1,Net Banking,,,Average
4298,6761,Eva,,46,India,New York,Electronics,Phone,9,937.13,5,2023-05-10,1,Cash,Pending,5,
10174,3058,Frank,Female,21,USA,New York,Food,Novel,3,1653.97,20,2021-10-15,7,Credit Card,Delivered,,Good
996,7961,Eva,Male,58,India,New York,Furniture,Pizza,7,799.01,5,2022-09-24,12,Debit Card,,5,Average
14606,6626,Bob,M,67,Canada,Toronto,Books,Laptop,6,1483.51,20,2022-02-10,4,Debit Card,Pending,,
13104,5514,Alice,F,47,UK,Mumbai,Food,Shirt,8,1361.1,15,2023-04-17,6,Cash,Delivered,2,Excellent
11535,2145,Charlie,Female,31,France,,Books,Novel,1,1777.76,20,2021-02-28,14,Net Banking,Cancelled,4,
12744,1910,Grace,Female,41,,New York,,Chair,9,1050.34,15,2022-12-03,13,,Returned,4,
7630,4306,Bob,M,55,Germany,Mumbai,Clothing,Laptop,7,360.88,,2021-10-24,10,,Pending,3,Poor
11991,6450,Bob,,69,Germany,New York,Food,,9,575.66,20,2021-01-19,8,Credit Card,Returned,2,
9468,2566,Grace,,51,Germany,Paris,Clothing,Novel,1,939.09,0,2022-08-12,11,Credit Card,Delivered,1,Good
1017,3395,,F,53,France,Mumbai,Books,Novel,,932.72,10,2021-01-14,,Net Banking,,3,Bad
7870,4005,Eva,M,32,India,Paris,Electronics,Pizza,6,1304.97,5,2022-05-13,13,Credit Card,Delivered,3,Poor
6440,5507,,Female,52,Canada,New York,Books,Laptop,,54.2,0,2021-07-22,8,UPI,Returned,4,Good
7893,6343,Frank,M,46,France,Mumbai,Furniture,Shirt,4,969.2,10,2021-10-24,7,Credit Card,,2,Average
6864,5248,Grace,Male,53,France,Toronto,Furniture,Phone,,1159.53,15,2021-10-29,14,Cash,Returned,1,
7917,6331,Bob,Female,21,Canada,Berlin,Books,Chair,6,1283.4,5,2021-06-21,12,UPI,,,Good
8530,1091,,F,32,USA,Paris,Books,,3,1463.6,10,2022-11-06,6,UPI,Delivered,5,Average
879,4992,Charlie,F,28,Canada,,Clothing,Novel,7,1369.25,5,2022-11-11,13,Debit Card,Pending,2,Good
9269,1330,Grace,Female,66,France,London,Clothing,Shirt,9,1501.06,0,2021-10-31,4,UPI,,1,Excellent
4888,6760,Grace,,32,,London,Food,Phone,3,1708.41,,2021-10-25,8,Net Banking,Pending,2,Good
12186,1954,Alice,Female,38,USA,Berlin,Clothing,Chair,9,174.53,10,2023-01-07,6,Credit Card,Pending,4,Excellent
14553,4780,Frank,Female,52,,Berlin,,,3,885.92,5,2022-07-01,,Debit Card,Pending,4,Poor
4860,3601,,Male,40,,Toronto,Electronics,Phone,7,390.18,15,2022-12-11,,,Delivered,,Poor
6332,3977,Alice,Female,27,,London,Electronics,Shirt,9,19.21,15,2021-04-10,4,Debit Card,Returned,1,Poor
8572,6347,,M,21,,Mumbai,,Pizza,1,720.49,20,2022-01-11,13,Cash,Cancelled,5,Average
8685,5289,Alice,M,62,,New York,Clothing,Laptop,2,1993.46,20,2022-06-06,1,Cash,Returned,5,Average
7209,1529,Charlie,F,42,,Mumbai,,Novel,8,536.99,5,2022-04-01,4,Net Banking,Pending,4,Excellent
5277,3892,Eva,,19,UK,,Books,Chair,7,931.77,15,2022-10-18,6,Cash,,1,Bad
2063,2266,Frank,F,55,USA,,Books,Phone,7,1804.21,10,2021-09-23,6,,Pending,3,Average
12077,2473,Frank,Male,36,Germany,London,Electronics,Novel,7,364.03,,2022-09-09,10,UPI,,5,Excellent
65,5734,,Female,41,USA,,Books,Chair,9,303.34,10,2021-04-11,2,Net Banking,Cancelled,5,Good
8007,6706,Grace,F,25,,,Furniture,,8,671.62,0,2021-10-06,9,Credit Card,,5,Good
2569,2597,Charlie,Female,23,,Paris,Books,Shirt,7,1300.03,20,2021-06-27,8,,Delivered,2,Poor
5464,3525,,F,37,UK,Paris,Electronics,Novel,1,1208.17,15,2023-01-12,6,Net Banking,,2,Excellent
13441,7623,Frank,Female,31,France,New York,Food,Laptop,4,581.69,0,2021-07-03,11,Credit Card,,4,Poor
2028,7431,Bob,F,57,Germany,New York,Clothing,Chair,5,1809.8,5,2023-04-28,5,Cash,Returned,1,Poor
2696,5793,David,M,23,USA,Toronto,Clothing,Pizza,9,190.95,20,2021-11-25,4,UPI,Returned,,Bad
9688,4761,Grace,Male,29,Canada,London,Food,Phone,2,1755.78,15,2021-05-04,8,Credit Card,Delivered,4,Poor
5259,7141,David,F,58,India,London,Furniture,Shirt,9,350.76,15,2021-04-08,6,Credit Card,Returned,2,Bad
5619,6797,David,M,24,Canada,New York,Furniture,,3,1056.1,5,2021-12-24,3,Net Banking,,4,Poor
6737,3742,Alice,,62,France,Paris,Food,Phone,,1223.34,15,2021-05-20,13,Debit Card,,4,Poor
392,5635,,F,47,Germany,Berlin,Books,,3,1871.43,0,2021-06-05,7,UPI,Pending,3,Bad
13987,5425,Frank,Female,33,Germany,Berlin,Electronics,Pizza,5,579.8,20,2023-04-10,14,Debit Card,,4,
12707,1469,,Male,25,USA,Berlin,Furniture,Shirt,5,1834.8,0,2022-05-01,4,,Cancelled,5,Poor
14625,4830,Grace,M,31,France,Paris,Furniture,Laptop,3,1936.04,,2021-06-07,,Net Banking,Pending,1,Bad
12667,7992,Charlie,M,65,France,Mumbai,Food,Pizza,4,1919.16,10,2021-05-03,6,Debit Card,,1,Excellent
5893,1533,Frank,Male,37,,Mumbai,,Shirt,9,1030.56,15,2021-02-19,13,UPI,,5,Excellent
3562,7058,Charlie,F,45,India,Paris,Food,Pizza,5,322.98,15,2023-05-01,6,Debit Card,Returned,2,Good
10471,5562,,Female,23,India,,Furniture,Shirt,1,1054.78,15,2021-04-30,11,UPI,Pending,,Good
6185,5055,Frank,,47,Germany,Mumbai,Books,Laptop,2,1628.09,5,2022-12-14,7,UPI,Pending,4,Bad
3100,7563,Grace,F,21,Canada,Berlin,,Novel,7,725.46,10,2023-06-18,8,UPI,Delivered,5,Bad
6279,4679,,Male,53,Germany,Paris,Clothing,,3,1542.74,10,2021-05-11,12,Credit Card,Pending,5,Good
8393,5087,Grace,F,20,UK,New York,Clothing,Phone,,1166.72,0,2021-05-19,13,Cash,Delivered,,Poor
14152,1761,Alice,F,27,Germany,Paris,Clothing,Shirt,,1077.66,15,2021-12-17,6,Net Banking,Returned,3,Bad
13068,6101,Grace,Male,55,,London,,Chair,1,783.76,5,2023-06-09,2,Net Banking,Cancelled,,Average
3105,1890,Bob,Male,44,India,Berlin,Clothing,Novel,7,1369.21,0,2022-06-17,13,Cash,,3,Excellent
7216,3355,David,,35,,Toronto,Furniture,Pizza,6,743.08,15,2021-04-22,1,UPI,Cancelled,4,Excellent
12791,2955,David,Male,62,USA,Berlin,Furniture,Phone,7,905.65,,2022-09-26,4,UPI,Delivered,4,Bad
2455,3971,Frank,Male,28,UK,London,Clothing,Pizza,3,231.45,10,2023-03-06,5,,,2,Excellent
11838,7477,Alice,Male,53,Germany,Berlin,Clothing,Pizza,8,1532.49,,2021-12-25,5,,Pending,,Good
14040,6049,David,M,57,India,Toronto,Books,Chair,1,1215.79,15,2021-06-05,9,Credit Card,,3,
8997,6539,Frank,Male,52,Canada,London,Books,Chair,8,1457.73,15,2022-09-28,,Credit Card,Delivered,4,Bad
14435,2672,Grace,Male,61,UK,Toronto,,Phone,2,1919.91,,2021-08-08,5,Credit Card,Pending,5,Good
2732,3836,Eva,Male,30,USA,London,Books,Chair,6,514.5,10,2021-12-22,4,Net Banking,Delivered,2,Excellent
14184,5927,Frank,,40,USA,Berlin,Electronics,Chair,6,1434.46,15,2022-01-28,5,,,1,
10966,5939,Charlie,F,60,Canada,Paris,Books,Chair,1,662.53,10,2023-06-11,8,,Delivered,3,
8155,4644,David,Male,26,India,London,Books,Chair,3,408.1,0,2022-05-28,3,Debit Card,Pending,5,Bad
9763,3297,David,Male,21,,New York,Furniture,Phone,8,1078.17,20,2023-03-01,10,,Cancelled,5,Good
5057,5061,Eva,,60,France,London,Clothing,Novel,6,1924.63,10,2023-04-03,7,Net Banking,,3,Poor
14949,4166,Grace,F,57,,New York,,,7,1908.68,0,2021-07-02,4,UPI,Cancelled,1,Average
8111,2319,Bob,,67,Canada,Paris,Books,Novel,2,1816.97,5,2022-08-22,2,Net Banking,Cancelled,3,Good
13774,1183,,Female,48,,London,Books,Pizza,5,993.15,0,2022-12-02,8,UPI,,5,Average
10883,2283,Frank,Female,20,India,,Books,Chair,4,1293.39,10,2022-04-28,13,Debit Card,Returned,2,Bad
3841,3846,Bob,Female,53,India,London,Furniture,Laptop,2,141.1,15,2021-10-21,7,Debit Card,Delivered,1,Poor
1029,6786,Frank,Male,34,,London,Electronics,Phone,5,333.59,10,2022-04-02,12,UPI,Delivered,5,Poor
7386,3233,Eva,,33,,,Food,Pizza,1,542.97,0,2022-06-09,12,UPI,Pending,5,
503,5088,Bob,Male,56,India,New York,,Pizza,3,501.46,,2022-03-17,10,Credit Card,Pending,4,Good
6911,2432,Alice,Female,19,France,Paris,,Shirt,6,1782.98,0,2022-02-22,4,Debit Card,,2,Average
12686,4140,Eva,F,22,Germany,Berlin,Clothing,Pizza,4,1020.6,5,2023-01-30,11,Net Banking,Returned,5,Poor
9063,7981,Grace,F,50,Germany,Toronto,Furniture,Pizza,,859.56,20,2021-01-01,8,Cash,Cancelled,5,Bad
6939,2796,,,30,USA,Toronto,Furniture,Pizza,4,183.74,0,2022-02-02,7,Net Banking,Cancelled,3,Bad
4489,5722,Frank,F,29,Germany,Mumbai,,Shirt,9,1557.96,0,2022-01-20,13,Cash,Cancelled,,Bad
207,3055,Charlie,Female,36,India,,Furniture,Phone,4,12.14,10,2021-12-13,8,UPI,,3,Average
5135,4336,Grace,,39,,London,Books,Laptop,4,1692.89,5,2021-05-15,3,Cash,Returned,4,
5978,1782,Grace,,57,Canada,London,Furniture,Chair,3,366.25,5,2021-05-16,4,Credit Card,Delivered,5,Bad
7722,2507,Charlie,Female,25,Germany,London,Food,Shirt,2,1000.79,15,2021-12-02,,,Pending,1,Good
7036,6880,Charlie,Female,61,France,Berlin,Furniture,Chair,8,709.84,0,2021-12-09,5,,Cancelled,,Bad
1485,5870,Frank,Female,21,Canada,Paris,Electronics,Novel,3,1863.92,0,2022-09-27,4,Net Banking,,5,Poor
7859,6855,Grace,Female,24,Germany,New York,Clothing,Phone,6,1932.97,,2023-01-04,3,Debit Card,,1,Average
864,6959,David,,65,India,Berlin,,Pizza,2,1624.54,,2023-02-16,3,Cash,Returned,2,Poor
2791,6102,Eva,F,39,Germany,Paris,Books,Pizza,8,1236.58,20,2023-06-05,,Cash,Returned,4,Bad
7409,4854,Eva,Female,35,Canada,Mumbai,Clothing,Pizza,9,1022.31,10,2022-11-14,4,UPI,Delivered,3,Bad
8756,1676,,M,23,USA,Toronto,,Phone,5,472.54,0,2021-03-25,6,Credit Card,Cancelled,4,Average
5117,2830,Bob,,67,Germany,Paris,Clothing,Pizza,9,1191.11,20,2021-04-07,13,Cash,Returned,,Average
12384,5090,Eva,Male,21,USA,Paris,,Phone,1,1325.82,5,2021-06-05,12,UPI,Delivered,3,Good
6020,5306,,F,,,New York,,Laptop,8,1871.63,10,2023-01-25,1,Cash,,5,Bad
1758,6432,,,58,UK,Paris,Furniture,Chair,2,1226.5,0,2021-06-10,10,Cash,Returned,2,
14821,6723,Grace,Female,62,France,Paris,Furniture,Shirt,,1709.49,0,2021-01-26,12,Cash,Pending,,Excellent
7575,2360,Eva,M,68,USA,Toronto,,Phone,8,833.86,,2021-06-10,6,Cash,,3,Excellent
6375,5585,Grace,Male,29,Canada,,Books,,1,1072.13,10,2022-06-09,4,Net Banking,Returned,,Excellent
6893,6522,Bob,F,65,UK,London,Books,,1,1834.02,,2022-07-04,6,Cash,,1,
1679,3686,Eva,Female,54,UK,New York,Clothing,Shirt,9,1495.71,20,2022-08-30,8,Net Banking,Cancelled,3,Bad
3243,1190,Eva,,19,India,,,Phone,,1845.22,5,2022-08-19,1,Credit Card,Pending,3,Good
4637,7814,,,20,UK,Paris,Books,Laptop,3,282.97,20,2021-07-26,9,Cash,,,
1060,1842,Alice,F,62,France,Paris,Furniture,Phone,1,411.28,15,2021-11-21,13,Cash,Cancelled,5,Bad
6669,1334,Frank,M,38,France,,Food,Laptop,8,583.66,0,2022-01-16,2,Net Banking,,,Excellent
13472,6738,Bob,Female,56,France,London,Furniture,Novel,4,1670.67,15,2022-03-19,8,UPI,Delivered,4,Bad
9915,2110,Alice,F,30,France,,Clothing,Chair,1,791.9,10,2021-10-09,3,UPI,Pending,,Poor
11507,1578,David,F,65,India,New York,,Pizza,9,38.97,,2023-04-11,9,Debit Card,Cancelled,1,Poor
3158,1061,Bob,,31,Germany,Mumbai,Furniture,Pizza,2,592.7,,2023-02-14,2,Cash,Cancelled,4,Bad
5916,1386,Grace,F,47,,New York,,Laptop,1,216.4,0,2022-05-18,12,Debit Card,Cancelled,2,Good
10818,2169,Frank,Male,35,Canada,Berlin,Electronics,Laptop,1,1519.14,0,2023-06-06,,Debit Card,Delivered,4,Average
10922,3200,Eva,Male,30,Canada,,Food,Shirt,2,636.32,10,2022-12-23,14,UPI,Delivered,1,Excellent
14893,5714,Grace,Female,31,USA,Paris,Food,Shirt,9,1339.47,15,2021-08-02,3,,Returned,2,Average
9790,2683,Eva,F,58,India,Toronto,Furniture,Laptop,8,736.3,20,2022-09-15,6,,Delivered,5,Poor
11253,7841,Alice,,57,Canada,Berlin,Books,Novel,4,1874.84,15,2023-06-03,2,,,2,Good
2694,6973,Alice,Female,42,India,Berlin,Clothing,Novel,2,514.99,5,2023-04-12,3,UPI,Delivered,1,Poor
13084,7321,David,M,54,USA,Mumbai,Books,Pizza,9,1155.36,15,2023-05-30,2,Net Banking,Delivered,5,Good
13340,7990,David,,44,Canada,Paris,Furniture,Novel,8,1143.87,,2021-01-31,5,Net Banking,Returned,2,Average
13932,1486,Frank,M,40,USA,New York,Clothing,Pizza,5,1192.98,20,2021-02-27,14,Cash,Returned,5,Poor
3628,4732,Eva,Female,24,Germany,Toronto,,Novel,,440.45,5,2021-01-22,12,Net Banking,Pending,1,Bad
9556,6373,Grace,Male,65,Germany,London,Food,Novel,,652.46,10,2021-07-05,7,Cash,Delivered,2,Average
10174,7643,Charlie,,27,France,,Clothing,Laptop,,423.89,0,2023-04-06,12,Net Banking,Returned,1,Bad
5451,1540,Grace,,42,,Paris,Electronics,Novel,2,51.46,,2021-02-16,12,,Cancelled,3,Bad
1664,6631,,Female,52,Canada,Berlin,Furniture,Pizza,,1285.11,5,2022-09-11,12,Cash,,2,Excellent
9722,3060,David,,41,Germany,Berlin,Furniture,Chair,3,1991.8,5,2022-12-18,5,Credit Card,Delivered,,Good
10231,5246,Eva,,66,Germany,,Books,Phone,8,1391.01,5,2022-03-25,6,Debit Card,Cancelled,2,
5593,6169,Grace,Female,59,USA,,,Chair,8,1593.53,,2021-05-22,5,Net Banking,Returned,5,Good
11495,2238,Grace,F,28,,Paris,Electronics,Shirt,7,94.63,0,2023-03-28,4,Credit Card,Returned,5,
10430,1990,David,Female,37,,,Books,,9,1462.37,20,2022-08-01,5,,Delivered,4,Excellent
7393,7787,,,27,UK,Mumbai,Electronics,Phone,7,1072.04,5,2021-02-27,,Credit Card,,5,Bad
13697,5467,Grace,Female,67,France,New York,Food,Pizza,,562.5,10,2022-06-03,8,,Returned,4,Good
13689,6232,Grace,,38,France,Toronto,Clothing,Laptop,3,1201.31,20,2022-07-19,8,Credit Card,Delivered,,Good
1307,3299,Bob,M,45,India,London,Food,Laptop,1,1422.41,10,2021-02-17,14,Credit Card,Cancelled,5,Bad
12222,7196,,M,45,Germany,Toronto,Clothing,Shirt,3,1876.49,0,2022-07-18,6,UPI,,1,Good
6777,6249,Alice,Male,44,Germany,Toronto,Books,Chair,2,403.85,,2021-07-05,9,Debit Card,Pending,1,Excellent
10868,4907,Eva,Female,50,USA,Mumbai,Electronics,Pizza,6,1378.81,10,2021-04-05,,Cash,Cancelled,,Average
13261,5288,Grace,Female,21,Germany,Toronto,Clothing,Novel,5,1146.09,15,2022-11-18,2,Cash,,3,Bad
5865,7734,David,M,52,India,Toronto,,Shirt,,1185.9,15,2021-01-15,9,,Pending,4,Good
9475,2080,Alice,M,37,USA,New York,Food,Pizza,9,198.49,,2023-04-21,3,,Cancelled,5,Excellent
7527,7240,,M,23,,Paris,Furniture,Novel,8,883.11,,2022-07-13,10,UPI,Delivered,,Bad
